ip version|application name|packets|bytes
6|BitTorrent|102174|53747973
4|BitTorrent|18343359|9166171189
6|Brodos Crypto Trade Protocol|188727|17330316
4|Brodos Crypto Trade Protocol|25850390|16876889995
6|Clash of Clans|214|23534
4|Clash of Clans|4865345|222052173
6|DNS|13564390|1503240377
4|DNS|98142459|62045038117
4|FCP|1120062|923966271
4|GNUnet|1452831|85273777
6|GNUnet|47|5279
6|HTTP|4354007|2699956360
4|HTTP|955013367|405728449213
4|HTTPS|2282938769|746684246092
6|HTTPS|52813756|20193764321
4|IMAPS|5304428|1050000015
6|IMAPS|7124|573608
6|IPSec NAT Traversal|194|21336
4|IPSec NAT Traversal|7792891|2368232761
4|Microsoft DS|24747435|1645000759
6|Microsoft DS|4|240
6|NNTP|3|180
4|NNTP|57416|10432063
4|NNTPS|1916|105658
6|Not TCP/UDP|13654725|1178276196
4|Not TCP/UDP|67851763|16650445129
4|NTP|55419161|14912426582
6|NTP|5665571|543894816
6|OpenVPN|224|26097
4|OpenVPN|3039657|1210624717
4|QUIC|17317536|10194283652
6|QUIC|71589|44478985
4|Remote Shell|2694671|1743988104
6|RTMP|134|102813
4|RTMP|29946193|7196534106
4|RTSP|2533809|2370161977
4|SMTP|17438293|6568555505
6|SMTP|21450|22955389
4|SSH|13065209|6621919583
6|SSH|2929|452470
6|STUN/TURN|33873|2410889
4|STUN/TURN|5555782|1169955315
4|Sun Proxy Admin Service|2871478|355763989
6|Sun Proxy Admin Service|85|6244
4|Tor|10510822|13872908813
6|Tor|43|7255
4|unidentified|1173448751|562805940746
6|unidentified|19930564|9901295839
6|XBox Live|183|19851
4|XBox Live|7380375|1289882447
6|XMPP|3977|591714
4|XMPP|457862368|60774221533
4|XNS|6268|480032
